Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,160,SG250020676,1110600326,16.82,22.06
Day 2 (20 June 2026),20 June 2026,193,SG250030798,1110600328,4.14,5.88
Day 2 (20 June 2026),20 June 2026,192,SG250034471,1110600330,4.9,6.37
Day 2 (20 June 2026),20 June 2026,115,SG250036843,1110600331,31.8,44.12
Day 2 (20 June 2026),20 June 2026,158,SG250047126,1110600333,16.85,23.04
Day 2 (20 June 2026),20 June 2026,58,SG250048039,1110600334,50.42,72.06
Day 2 (20 June 2026),20 June 2026,141,SG250066805,1110600337,23.17,31.37
Day 2 (20 June 2026),20 June 2026,201,SG250067024,1110600339,-0.09,1.96
Day 2 (20 June 2026),20 June 2026,156,SG250067604,1110600340,18.16,24.02
Day 2 (20 June 2026),20 June 2026,43,SG250079666,1110600342,56.76,79.41
Day 2 (20 June 2026),20 June 2026,24,SG250088339,1110600344,65.73,88.73
Day 2 (20 June 2026),20 June 2026,104,SG250122458,1110600349,34.77,49.51
Day 2 (20 June 2026),20 June 2026,91,SG250122980,1110600350,39.15,55.88
Day 2 (20 June 2026),20 June 2026,182,SG250132248,1110600355,7.84,11.27
Day 2 (20 June 2026),20 June 2026,44,SG250135044,1110600357,56.42,78.92
Day 2 (20 June 2026),20 June 2026,66,SG250001206,1120600362,47.12,68.14
Day 2 (20 June 2026),20 June 2026,33,SG250002290,1120600363,61.06,84.31
Day 2 (20 June 2026),20 June 2026,126,SG250024655,1120600366,27.79,38.73
Day 2 (20 June 2026),20 June 2026,86,SG250039188,1120600369,40.43,58.33
Day 2 (20 June 2026),20 June 2026,150,SG250042517,1120600370,19.5,26.96
Day 2 (20 June 2026),20 June 2026,124,SG250050118,1120600371,29.49,39.71
Day 2 (20 June 2026),20 June 2026,143,SG250075131,1120600373,22.18,30.39
Day 2 (20 June 2026),20 June 2026,102,SG250080997,1120600374,36.44,50.49
Day 2 (20 June 2026),20 June 2026,144,SG250082363,1120600375,22.17,29.9
Day 2 (20 June 2026),20 June 2026,121,SG250086214,1120600376,30.16,41.18
Day 2 (20 June 2026),20 June 2026,137,SG250087570,1120600377,24.19,33.33
Day 2 (20 June 2026),20 June 2026,95,SG250100116,1120600378,38.47,53.92
Day 2 (20 June 2026),20 June 2026,100,SG250124169,1120600380,36.79,51.47
Day 2 (20 June 2026),20 June 2026,105,SG250133863,1120600384,34.48,49.02
Day 2 (20 June 2026),20 June 2026,90,SG250149973,1120600387,39.78,56.37
Day 2 (20 June 2026),20 June 2026,157,SG250005313,1130600388,17.16,23.53
Day 2 (20 June 2026),20 June 2026,113,SG250006603,1130600389,32.14,45.1
Day 2 (20 June 2026),20 June 2026,61,SG250011430,1130600390,50.06,70.59
Day 2 (20 June 2026),20 June 2026,97,SG250039291,1130600398,38.01,52.94
Day 2 (20 June 2026),20 June 2026,128,SG250057095,1130600402,27.11,37.75
Day 2 (20 June 2026),20 June 2026,190,SG250063216,1130600404,5.41,7.35
Day 2 (20 June 2026),20 June 2026,5,SG250085445,1130600406,76.05,98.04
Day 2 (20 June 2026),20 June 2026,6,SG250105810,1130600408,76.05,97.55
Day 2 (20 June 2026),20 June 2026,8,SG250127445,1130600414,73.71,96.57
Day 2 (20 June 2026),20 June 2026,69,SG250135070,1130600417,46.78,66.67
Day 2 (20 June 2026),20 June 2026,162,SG250145961,1130600424,15.16,21.08
Day 2 (20 June 2026),20 June 2026,204,SG250146056,1130600425,-2.63,0.49
Day 2 (20 June 2026),20 June 2026,122,SG250012066,1140600429,29.82,40.69
Day 2 (20 June 2026),20 June 2026,184,SG250037426,1140600433,6.9,10.29
Day 2 (20 June 2026),20 June 2026,177,SG250070800,1140600436,8.23,13.73
Day 2 (20 June 2026),20 June 2026,47,SG250073510,1140600438,54.09,77.45
Day 2 (20 June 2026),20 June 2026,63,SG250095227,1140600440,49.09,69.61
Day 2 (20 June 2026),20 June 2026,7,SG250121789,1140600445,75.05,97.06
Day 2 (20 June 2026),20 June 2026,194,SG250148960,1140600448,2.82,5.39
