Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,527,SG250137679,1020700274,44.12,65.53
Day 2 (20 June 2026),20 June 2026,990,SG250138434,1020700275,27.48,35.19
Day 2 (20 June 2026),20 June 2026,760,SG250143500,1020700283,35.78,50.26
Day 2 (20 June 2026),20 June 2026,969,SG250143840,1020700285,28.49,36.57
Day 2 (20 June 2026),20 June 2026,871,SG250144098,1020700286,32.12,42.99
Day 2 (20 June 2026),20 June 2026,16,SG250148684,1020700289,75.7,99.02
Day 2 (20 June 2026),20 June 2026,1226,SG250148937,1020700290,17.87,19.72
Day 2 (20 June 2026),20 June 2026,528,SG250000320,1030700291,44.11,65.47
Day 2 (20 June 2026),20 June 2026,581,SG250000362,1030700292,42.14,61.99
Day 2 (20 June 2026),20 June 2026,455,SG250000465,1030700293,47.12,70.25
Day 2 (20 June 2026),20 June 2026,68,SG250001050,1030700294,67.41,95.61
Day 2 (20 June 2026),20 June 2026,52,SG250001795,1030700295,69.39,96.66
Day 2 (20 June 2026),20 June 2026,416,SG250007539,1030700297,48.78,72.8
Day 2 (20 June 2026),20 June 2026,835,SG250008180,1030700298,33.16,45.35
Day 2 (20 June 2026),20 June 2026,818,SG250012173,1030700299,33.79,46.46
Day 2 (20 June 2026),20 June 2026,380,SG250015589,1030700301,50.1,75.16
Day 2 (20 June 2026),20 June 2026,992,SG250015729,1030700302,27.47,35.06
Day 2 (20 June 2026),20 June 2026,284,SG250016224,1030700303,54.41,81.45
Day 2 (20 June 2026),20 June 2026,1115,SG250017104,1030700305,22.15,27.0
Day 2 (20 June 2026),20 June 2026,184,SG250017862,1030700306,59.43,88.01
Day 2 (20 June 2026),20 June 2026,151,SG250018222,1030700307,61.38,90.17
Day 2 (20 June 2026),20 June 2026,664,SG250018994,1030700309,39.15,56.55
Day 2 (20 June 2026),20 June 2026,478,SG250021379,1030700311,46.09,68.74
Day 2 (20 June 2026),20 June 2026,1244,SG250022283,1030700312,17.18,18.55
Day 2 (20 June 2026),20 June 2026,1154,SG250025008,1030700313,20.85,24.44
Day 2 (20 June 2026),20 June 2026,1073,SG250025763,1030700315,24.18,29.75
Day 2 (20 June 2026),20 June 2026,209,SG250028228,1030700317,58.4,86.37
Day 2 (20 June 2026),20 June 2026,588,SG250030600,1030700318,41.78,61.53
Day 2 (20 June 2026),20 June 2026,590,SG250031291,1030700319,41.77,61.4
Day 2 (20 June 2026),20 June 2026,646,SG250032338,1030700320,39.77,57.73
Day 2 (20 June 2026),20 June 2026,73,SG250032359,1030700321,67.07,95.28
Day 2 (20 June 2026),20 June 2026,865,SG250034665,1030700322,32.14,43.38
Day 2 (20 June 2026),20 June 2026,1090,SG250036327,1030700324,23.48,28.64
Day 2 (20 June 2026),20 June 2026,338,SG250036822,1030700325,51.76,77.92
Day 2 (20 June 2026),20 June 2026,1451,SG250039912,1030700327,5.57,4.98
Day 2 (20 June 2026),20 June 2026,532,SG250045781,1030700328,43.78,65.2
Day 2 (20 June 2026),20 June 2026,5,SG250050841,1030700330,81.04,99.74
Day 2 (20 June 2026),20 June 2026,1168,SG250051561,1030700331,20.45,23.53
Day 2 (20 June 2026),20 June 2026,1357,SG250052371,1030700332,11.51,11.14
Day 2 (20 June 2026),20 June 2026,1229,SG250053680,1030700333,17.79,19.53
Day 2 (20 June 2026),20 June 2026,167,SG250055768,1030700337,60.72,89.12
Day 2 (20 June 2026),20 June 2026,589,SG250059639,1030700339,41.78,61.47
Day 2 (20 June 2026),20 June 2026,611,SG250066127,1030700341,41.12,60.03
Day 2 (20 June 2026),20 June 2026,1469,SG250078931,1030700342,3.87,3.8
Day 2 (20 June 2026),20 June 2026,1123,SG250080104,1030700344,21.83,26.47
Day 2 (20 June 2026),20 June 2026,481,SG250085881,1030700347,45.8,68.55
Day 2 (20 June 2026),20 June 2026,737,SG250088034,1030700348,36.45,51.77
Day 2 (20 June 2026),20 June 2026,1264,SG250093494,1030700351,16.19,17.23
Day 2 (20 June 2026),20 June 2026,264,SG250097142,1030700352,55.43,82.77
Day 2 (20 June 2026),20 June 2026,1145,SG250101948,1030700353,21.17,25.03
Day 2 (20 June 2026),20 June 2026,1019,SG250106764,1030700356,26.12,33.29
Day 2 (20 June 2026),20 June 2026,647,SG250107409,1030700357,39.76,57.67
Day 2 (20 June 2026),20 June 2026,691,SG250114212,1030700361,38.42,54.78
Day 2 (20 June 2026),20 June 2026,482,SG250121986,1030700364,45.8,68.48
Day 2 (20 June 2026),20 June 2026,88,SG250122183,1030700365,66.07,94.3
Day 2 (20 June 2026),20 June 2026,1087,SG250122930,1030700366,23.52,28.83
Day 2 (20 June 2026),20 June 2026,1380,SG250130681,1030700369,9.89,9.63
Day 2 (20 June 2026),20 June 2026,866,SG250133315,1030700370,32.14,43.32
Day 2 (20 June 2026),20 June 2026,1269,SG250135616,1030700371,16.09,16.91
Day 2 (20 June 2026),20 June 2026,1326,SG250142005,1030700374,13.49,13.17
Day 2 (20 June 2026),20 June 2026,489,SG250143609,1030700376,45.77,68.02
Day 2 (20 June 2026),20 June 2026,142,SG250145722,1030700377,61.42,90.76
Day 2 (20 June 2026),20 June 2026,1180,SG250000567,1040700379,19.82,22.74
Day 2 (20 June 2026),20 June 2026,562,SG250000893,1040700380,43.1,63.24
Day 2 (20 June 2026),20 June 2026,148,SG250001747,1040700381,61.4,90.37
Day 2 (20 June 2026),20 June 2026,667,SG250002023,1040700382,39.12,56.36
Day 2 (20 June 2026),20 June 2026,816,SG250002625,1040700383,33.81,46.59
Day 2 (20 June 2026),20 June 2026,202,SG250002645,1040700384,58.73,86.83
Day 2 (20 June 2026),20 June 2026,58,SG250003149,1040700385,68.73,96.26
Day 2 (20 June 2026),20 June 2026,371,SG250006246,1040700387,50.74,75.75
Day 2 (20 June 2026),20 June 2026,761,SG250006850,1040700388,35.77,50.2
Day 2 (20 June 2026),20 June 2026,961,SG250011069,1040700389,28.77,37.09
Day 2 (20 June 2026),20 June 2026,1388,SG250012004,1040700391,9.55,9.11
Day 2 (20 June 2026),20 June 2026,706,SG250012693,1040700394,37.45,53.8
Day 2 (20 June 2026),20 June 2026,1008,SG250013142,1040700395,26.81,34.01
Day 2 (20 June 2026),20 June 2026,377,SG250013152,1040700396,50.39,75.36
Day 2 (20 June 2026),20 June 2026,1477,SG250013331,1040700397,2.91,3.28
Day 2 (20 June 2026),20 June 2026,1501,SG250014206,1040700399,0.67,1.7
Day 2 (20 June 2026),20 June 2026,1135,SG250014960,1040700400,21.49,25.69
Day 2 (20 June 2026),20 June 2026,19,SG250015020,1040700402,75.06,98.82
Day 2 (20 June 2026),20 June 2026,1384,SG250015035,1040700403,9.56,9.37
Day 2 (20 June 2026),20 June 2026,827,SG250017388,1040700406,33.48,45.87
Day 2 (20 June 2026),20 June 2026,314,SG250017401,1040700407,52.75,79.49
Day 2 (20 June 2026),20 June 2026,1190,SG250019851,1040700409,19.2,22.08
Day 2 (20 June 2026),20 June 2026,80,SG250020488,1040700411,66.72,94.82
Day 2 (20 June 2026),20 June 2026,323,SG250020751,1040700412,52.11,78.9
Day 2 (20 June 2026),20 June 2026,648,SG250030488,1040700415,39.76,57.6
Day 2 (20 June 2026),20 June 2026,634,SG250030732,1040700416,40.15,58.52
Day 2 (20 June 2026),20 June 2026,606,SG250033107,1040700417,41.42,60.35
Day 2 (20 June 2026),20 June 2026,612,SG250036676,1040700422,41.12,59.96
Day 2 (20 June 2026),20 June 2026,1178,SG250038916,1040700423,19.83,22.87
Day 2 (20 June 2026),20 June 2026,483,SG250039973,1040700424,45.8,68.41
Day 2 (20 June 2026),20 June 2026,1470,SG250041866,1040700426,3.84,3.74
Day 2 (20 June 2026),20 June 2026,1311,SG250044555,1040700428,14.18,14.15
Day 2 (20 June 2026),20 June 2026,615,SG250045141,1040700429,41.11,59.76
Day 2 (20 June 2026),20 June 2026,1221,SG250045391,1040700430,18.19,20.05
Day 2 (20 June 2026),20 June 2026,108,SG250048681,1040700432,64.07,92.99
Day 2 (20 June 2026),20 June 2026,1222,SG250051806,1040700433,18.19,19.99
Day 2 (20 June 2026),20 June 2026,721,SG250052897,1040700434,36.8,52.82
Day 2 (20 June 2026),20 June 2026,249,SG250057067,1040700439,56.11,83.75
Day 2 (20 June 2026),20 June 2026,555,SG250060200,1040700441,43.13,63.7
Day 2 (20 June 2026),20 June 2026,1241,SG250061112,1040700443,17.41,18.74
Day 2 (20 June 2026),20 June 2026,1285,SG250063607,1040700444,15.17,15.86
