Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,2444,SG250030099,1020800211,11.87,11.32
Day 2 (20 June 2026),20 June 2026,764,SG250030502,1020800212,46.1,72.3
Day 2 (20 June 2026),20 June 2026,619,SG250031168,1020800215,48.78,77.57
Day 2 (20 June 2026),20 June 2026,580,SG250031364,1020800216,49.77,78.98
Day 2 (20 June 2026),20 June 2026,2299,SG250033076,1020800217,16.14,16.59
Day 2 (20 June 2026),20 June 2026,392,SG250033990,1020800219,54.07,85.81
Day 2 (20 June 2026),20 June 2026,2670,SG250036333,1020800220,2.18,3.12
Day 2 (20 June 2026),20 June 2026,281,SG250037990,1020800222,56.77,89.84
Day 2 (20 June 2026),20 June 2026,2731,SG250039660,1020800223,-3.45,0.91
Day 2 (20 June 2026),20 June 2026,498,SG250040833,1020800226,52.08,81.96
Day 2 (20 June 2026),20 June 2026,527,SG250041770,1020800227,51.41,80.91
Day 2 (20 June 2026),20 June 2026,549,SG250043021,1020800229,50.77,80.11
Day 2 (20 June 2026),20 June 2026,2301,SG250044970,1020800232,15.87,16.52
Day 2 (20 June 2026),20 June 2026,1220,SG250048063,1020800237,37.46,55.75
Day 2 (20 June 2026),20 June 2026,975,SG250049000,1020800240,42.13,64.65
Day 2 (20 June 2026),20 June 2026,1365,SG250050039,1020800241,34.46,50.49
Day 2 (20 June 2026),20 June 2026,1199,SG250050362,1020800242,38.11,56.52
Day 2 (20 June 2026),20 June 2026,2692,SG250051924,1020800245,0.58,2.32
Day 2 (20 June 2026),20 June 2026,1144,SG250052839,1020800246,39.09,58.51
Day 2 (20 June 2026),20 June 2026,541,SG250053011,1020800248,51.07,80.4
Day 2 (20 June 2026),20 June 2026,945,SG250054100,1020800249,42.81,65.74
Day 2 (20 June 2026),20 June 2026,648,SG250054387,1020800250,48.11,76.52
Day 2 (20 June 2026),20 June 2026,1982,SG250055498,1020800251,24.18,28.09
Day 2 (20 June 2026),20 June 2026,2129,SG250055942,1020800253,20.82,22.76
