Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,330,SG250067979,1051200292,4.89,7.84
Day 2 (20 June 2026),20 June 2026,276,SG250075670,1051200293,12.52,22.97
Day 2 (20 June 2026),20 June 2026,281,SG250087756,1051200297,11.51,21.57
Day 2 (20 June 2026),20 June 2026,171,SG250128031,1051200308,26.12,52.38
Day 2 (20 June 2026),20 June 2026,239,SG250140915,1051200313,18.78,33.33
Day 2 (20 June 2026),20 June 2026,144,SG250007033,1061200317,29.11,59.94
Day 2 (20 June 2026),20 June 2026,37,SG250010733,1061200319,45.06,89.92
Day 2 (20 June 2026),20 June 2026,89,SG250011743,1061200320,36.09,75.35
Day 2 (20 June 2026),20 June 2026,213,SG250013453,1061200321,22.41,40.62
Day 2 (20 June 2026),20 June 2026,196,SG250026959,1061200327,24.07,45.38
Day 2 (20 June 2026),20 June 2026,261,SG250031246,1061200331,15.19,27.17
Day 2 (20 June 2026),20 June 2026,86,SG250031731,1061200332,36.41,76.19
Day 2 (20 June 2026),20 June 2026,348,SG250037184,1061200335,-1.75,2.8
Day 2 (20 June 2026),20 June 2026,351,SG250040811,1061200338,-3.47,1.96
Day 2 (20 June 2026),20 June 2026,235,SG250041701,1061200339,18.87,34.45
Day 2 (20 June 2026),20 June 2026,282,SG250050870,1061200343,11.5,21.29
Day 2 (20 June 2026),20 June 2026,269,SG250051958,1061200344,14.17,24.93
Day 2 (20 June 2026),20 June 2026,279,SG250052362,1061200345,12.13,22.13
Day 2 (20 June 2026),20 June 2026,266,SG250056183,1061200347,14.52,25.77
Day 2 (20 June 2026),20 June 2026,186,SG250059284,1061200350,25.41,48.18
Day 2 (20 June 2026),20 June 2026,16,SG250065591,1061200353,51.4,95.8
Day 2 (20 June 2026),20 June 2026,323,SG250066202,1061200354,5.9,9.8
Day 2 (20 June 2026),20 June 2026,180,SG250068971,1061200357,25.5,49.86
Day 2 (20 June 2026),20 June 2026,104,SG250069490,1061200358,33.49,71.15
Day 2 (20 June 2026),20 June 2026,81,SG250069999,1061200359,37.07,77.59
Day 2 (20 June 2026),20 June 2026,349,SG250070311,1061200361,-1.75,2.52
Day 2 (20 June 2026),20 June 2026,305,SG250071535,1061200362,8.23,14.85
Day 2 (20 June 2026),20 June 2026,19,SG250077328,1061200365,51.08,94.96
Day 2 (20 June 2026),20 June 2026,357,SG250081994,1061200367,-11.08,0.28
Day 2 (20 June 2026),20 June 2026,25,SG250083415,1061200368,48.39,93.28
Day 2 (20 June 2026),20 June 2026,88,SG250085578,1061200372,36.11,75.63
Day 2 (20 June 2026),20 June 2026,48,SG250086494,1061200375,42.4,86.83
Day 2 (20 June 2026),20 June 2026,207,SG250100247,1061200379,22.52,42.3
Day 2 (20 June 2026),20 June 2026,233,SG250103171,1061200380,19.19,35.01
Day 2 (20 June 2026),20 June 2026,15,SG250105094,1061200381,52.04,96.08
Day 2 (20 June 2026),20 June 2026,87,SG250108778,1061200386,36.14,75.91
Day 2 (20 June 2026),20 June 2026,321,SG250110544,1061200388,6.13,10.36
Day 2 (20 June 2026),20 June 2026,308,SG250115089,1061200390,7.89,14.01
Day 2 (20 June 2026),20 June 2026,344,SG250123946,1061200393,0.55,3.92
Day 2 (20 June 2026),20 June 2026,342,SG250127665,1061200396,0.89,4.48
Day 2 (20 June 2026),20 June 2026,236,SG250130057,1061200397,18.84,34.17
Day 2 (20 June 2026),20 June 2026,47,SG250136921,1061200401,43.09,87.11
Day 2 (20 June 2026),20 June 2026,77,SG250136999,1061200402,37.78,78.71
Day 2 (20 June 2026),20 June 2026,355,SG250140399,1061200403,-7.79,0.84
Day 2 (20 June 2026),20 June 2026,58,SG250141382,1061200404,40.37,84.03
Day 2 (20 June 2026),20 June 2026,22,SG250006641,1071200412,49.43,94.12
Day 2 (20 June 2026),20 June 2026,21,SG250007301,1071200413,49.72,94.4
Day 2 (20 June 2026),20 June 2026,27,SG250009171,1071200414,47.42,92.72
Day 2 (20 June 2026),20 June 2026,356,SG250036753,1071200421,-9.06,0.56
Day 2 (20 June 2026),20 June 2026,154,SG250053605,1071200426,28.47,57.14
Day 2 (20 June 2026),20 June 2026,215,SG250057793,1071200428,22.14,40.06
Day 2 (20 June 2026),20 June 2026,301,SG250069179,1071200433,8.82,15.97
Day 2 (20 June 2026),20 June 2026,320,SG250075580,1071200437,6.14,10.64
Day 2 (20 June 2026),20 June 2026,191,SG250076523,1071200438,24.52,46.78
Day 2 (20 June 2026),20 June 2026,31,SG250077852,1071200439,46.4,91.6
Day 2 (20 June 2026),20 June 2026,139,SG250083774,1071200441,29.79,61.34
Day 2 (20 June 2026),20 June 2026,57,SG250090136,1071200444,40.38,84.31
Day 2 (20 June 2026),20 June 2026,283,SG250096411,1071200450,11.48,21.01
Day 2 (20 June 2026),20 June 2026,224,SG250096812,1071200451,20.49,37.54
Day 2 (20 June 2026),20 June 2026,340,SG250097562,1071200452,1.56,5.04
Day 2 (20 June 2026),20 June 2026,8,SG250106601,1071200453,55.07,98.04
Day 2 (20 June 2026),20 June 2026,315,SG250110917,1071200456,7.19,12.04
Day 2 (20 June 2026),20 June 2026,91,SG250111049,1071200457,35.74,74.79
Day 2 (20 June 2026),20 June 2026,253,SG250119623,1071200459,16.21,29.41
Day 2 (20 June 2026),20 June 2026,110,SG250120985,1071200460,32.47,69.47
Day 2 (20 June 2026),20 June 2026,199,SG250124313,1071200461,23.77,44.54
Day 2 (20 June 2026),20 June 2026,271,SG250131070,1071200462,13.41,24.37
Day 2 (20 June 2026),20 June 2026,132,SG250133344,1071200463,30.82,63.31
Day 2 (20 June 2026),20 June 2026,113,SG250003871,1081200468,32.41,68.63
Day 2 (20 June 2026),20 June 2026,11,SG250005604,1081200470,53.03,97.2
Day 2 (20 June 2026),20 June 2026,163,SG250011935,1081200473,27.15,54.62
Day 2 (20 June 2026),20 June 2026,204,SG250021453,1081200480,23.06,43.14
Day 2 (20 June 2026),20 June 2026,243,SG250021561,1081200481,18.16,32.21
Day 2 (20 June 2026),20 June 2026,175,SG250026596,1081200482,25.79,51.26
Day 2 (20 June 2026),20 June 2026,45,SG250040821,1081200491,43.72,87.68
Day 2 (20 June 2026),20 June 2026,210,SG250042961,1081200492,22.46,41.46
