Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 3 (21 June 2026),21 June 2026,7173,SG250029513,1011108909,31.81,25.35
Day 3 (21 June 2026),21 June 2026,8607,SG250030035,1011108910,21.19,10.42
Day 3 (21 June 2026),21 June 2026,5513,SG250031816,1011108912,39.8,42.63
Day 3 (21 June 2026),21 June 2026,3137,SG250032736,1011108913,50.09,67.36
Day 3 (21 June 2026),21 June 2026,924,SG250033001,1011108914,62.07,90.39
Day 3 (21 June 2026),21 June 2026,5802,SG250033036,1011108915,38.78,39.62
Day 3 (21 June 2026),21 June 2026,5323,SG250033577,1011108916,40.77,44.6
Day 3 (21 June 2026),21 June 2026,7489,SG250034129,1011108917,29.83,22.06
Day 3 (21 June 2026),21 June 2026,6948,SG250034449,1011108918,33.07,27.69
Day 3 (21 June 2026),21 June 2026,7312,SG250036423,1011108919,30.84,23.9
Day 3 (21 June 2026),21 June 2026,6162,SG250037206,1011108920,37.12,35.87
Day 3 (21 June 2026),21 June 2026,345,SG250038510,1011108921,68.39,96.42
Day 3 (21 June 2026),21 June 2026,2975,SG250038713,1011108922,50.78,69.04
Day 3 (21 June 2026),21 June 2026,7414,SG250039044,1011108923,30.45,22.84
Day 3 (21 June 2026),21 June 2026,2296,SG250039552,1011108924,54.08,76.11
Day 3 (21 June 2026),21 June 2026,2581,SG250040543,1011108925,52.74,73.14
Day 3 (21 June 2026),21 June 2026,883,SG250041104,1011108926,62.39,90.82
Day 3 (21 June 2026),21 June 2026,8566,SG250042541,1011108929,21.53,10.85
Day 3 (21 June 2026),21 June 2026,4455,SG250043921,1011108930,44.44,53.64
Day 3 (21 June 2026),21 June 2026,8132,SG250045221,1011108931,25.52,15.36
Day 3 (21 June 2026),21 June 2026,9375,SG250045332,1011108933,6.83,2.43
Day 3 (21 June 2026),21 June 2026,8677,SG250045485,1011108934,20.2,9.69
Day 3 (21 June 2026),21 June 2026,6135,SG250045507,1011108935,37.4,36.15
Day 3 (21 June 2026),21 June 2026,8678,SG250046119,1011108936,20.2,9.68
Day 3 (21 June 2026),21 June 2026,5509,SG250047505,1011108937,39.81,42.67
Day 3 (21 June 2026),21 June 2026,6509,SG250048138,1011108938,35.16,32.26
Day 3 (21 June 2026),21 June 2026,9301,SG250049289,1011108940,9.5,3.2
Day 3 (21 June 2026),21 June 2026,9035,SG250049857,1011108942,15.2,5.96
Day 3 (21 June 2026),21 June 2026,106,SG250054417,1011108947,74.37,98.91
Day 3 (21 June 2026),21 June 2026,5488,SG250055345,1011108948,40.1,42.89
Day 3 (21 June 2026),21 June 2026,5154,SG250055866,1011108949,41.46,46.36
Day 3 (21 June 2026),21 June 2026,8235,SG250056807,1011108951,24.82,14.29
Day 3 (21 June 2026),21 June 2026,100,SG250056887,1011108952,74.69,98.97
Day 3 (21 June 2026),21 June 2026,7917,SG250058199,1011108953,27.15,17.6
Day 3 (21 June 2026),21 June 2026,8188,SG250058407,1011108954,25.18,14.78
Day 3 (21 June 2026),21 June 2026,129,SG250060570,1011108956,73.4,98.67
Day 3 (21 June 2026),21 June 2026,9528,SG250062117,1011108957,0.53,0.83
Day 3 (21 June 2026),21 June 2026,5236,SG250062167,1011108958,41.12,45.51
Day 3 (21 June 2026),21 June 2026,2323,SG250062822,1011108959,53.77,75.83
Day 3 (21 June 2026),21 June 2026,1423,SG250063482,1011108961,58.73,85.2
Day 3 (21 June 2026),21 June 2026,3521,SG250064794,1011108962,48.44,63.36
Day 3 (21 June 2026),21 June 2026,7226,SG250065028,1011108963,31.48,24.79
Day 3 (21 June 2026),21 June 2026,2610,SG250067095,1011108966,52.44,72.84
Day 3 (21 June 2026),21 June 2026,4382,SG250067147,1011108967,44.77,54.4
Day 3 (21 June 2026),21 June 2026,4484,SG250070589,1011108969,44.41,53.34
Day 3 (21 June 2026),21 June 2026,2838,SG250072754,1011108972,51.42,70.47
Day 3 (21 June 2026),21 June 2026,6556,SG250073109,1011108973,35.11,31.77
Day 3 (21 June 2026),21 June 2026,7653,SG250073703,1011108974,28.82,20.35
Day 3 (21 June 2026),21 June 2026,1585,SG250074045,1011108975,57.76,83.51
